,Lon,Lat,Neolithic,Urbanization,Interval,PC1Neolithic,PC2Neolithic,PC1urbanization,PC2urbanization,PC1Currenttime,PC2Currenttime,Total.Pathogen.Stress,Alpha,DistanceAfrica,AUC_complex
Pima,-108,29,8700,1000,7700,1.439437975,-2.515261592,0.914320401,-2.433703475,0.18622997,-2.542219235,11,0.077701149,18737.01572,6554.806265
Russian,40,61,1000,520,480,-1.694994822,-0.5071694,-1.561938967,-0.294818701,-1.428883112,-0.082468003,10,0.168965517,6813.86386,23187.08246
San,20,-21,1800,1000,800,-0.075468455,-3.352006883,-0.021572381,-3.331406196,-0.194987477,-3.473005616,8,0.03816092,0,1027.678771
Sardinian,9,40,8000,4000,4000,0.156378215,-1.648241102,0.348430778,-1.475785533,-0.079115353,-1.687248893,11,0.308045977,6158.95803,23091.50136
She,119,27,10000,3000,7000,1.020547019,-0.54963551,1.395488336,-0.542255525,1.507952285,-0.465304379,14,0.192183908,11603.45611,45528.34576
Sindhi,69,25.5,9000,6000,3000,0.117397113,-4.379095165,0.237814947,-4.375459248,0.147064598,-4.695494507,13,0.269655172,6987.343218,37866.73044
Surui,-62,-11,7000,3000,4000,3.022496027,-0.910276725,2.649240715,-1.411737376,2.251545354,-1.932219436,12,0.102528736,25377.32166,4518.707945
Tu,101,36,10000,4000,6000,-2.584871517,-1.931117637,-2.40826664,-1.787070489,-2.204410023,-1.484953253,14,0.208395402,9653.782121,45528.34576
Tujia,109,29,10000,3000,7000,0.158409756,-1.513706473,0.666017474,-1.400357055,1.082956525,-0.763618529,14,0.192643678,10618.13953,45528.34576
Tuscan,11,43,8000,4000,4000,-0.061370866,-1.225035781,0.248622927,-0.907649351,0.100260653,-0.853224679,11,0.314252874,5968.911149,23091.50136
Uygur,81,44,5000,3000,2000,-2.459356482,-1.607087446,-2.298806299,-1.553841902,-2.058758868,-0.963911985,11,0.242298851,7857.610436,23187.08246
Xibo,81.5,43.5,5000,2000,3000,-2.148273462,-1.778409052,-2.113385,-1.663670832,-1.479098882,-1.300641872,11,0.242298851,7895.933639,23187.08246
Yakut,129.5,63,3000,170,2830,-4.50628358,-1.320992101,-4.472040576,-1.045068126,-4.472040576,-1.045068126,7,0.110804598,10704.7487,1550.24147
Yi,103,28,4650,1000,3650,0.405276976,-1.715685203,0.434275,-1.610341743,0.421696104,-1.369277479,12,0.176551724,10114.43324,532.6181799
Yoruba,5,8,4500,2000,2500,2.043261892,-2.639439134,2.149126404,-2.571369198,2.169805021,-2.481893216,18,0.075632184,0,9210.992686
